Input.victimID,Answer.Q1Url
5559,http://www.indystar.com/article/20130618/NEWS/306180088/
1776,http://www.commercialappeal.com/news/2013/feb/04/crime-report-northaven-49ers-fan-accused-attacking/?print=1
5610,http://articles.chicagotribune.com/2013-06-17/news/chi-chicago-crime-shooting-gun-violence-marquette-park_1_weekend-violence-little-village-neighborhood-day-sunday
1791,http://www.ktvz.com/news/Bend-man-arraigned-on-murder-indictment/-/413192/18424528/-/13i41cp/-/index.html
5642,http://www.tricountyleader.com/news/2013-06-20/Front_Page/Area_man_shot_murdered.html
4066,http://lubbockonline.com/filed-online/2013-05-02/amarillo-police-identify-man-killed-during-home-invasion-robbery
5649,http://philadelphia.cbslocal.com/2013/06/21/camden-triple-shooting-gunman-arrested/
8088,http://www.news4jax.com/news/jso-at-least-1-shot-on-northside/-/475880/21506720/-/hhksl2/-/index.html
5656,http://www.keloland.com/newsdetail.cfm/man-kills-himself-following-double-shooting-in-clear-lake/?id=149498
4073,http://www.themorningsun.com/article/MS/20130710/NEWS03/130719990
8140,http://www.wdkx.com/show_article/2013/08/20/Grandfather_Shot_And_Killed_By_Stray_Bullet.html
8143,http://www.newson6.com/story/23175553/authorities-search-pond-in-neighborhood-of-skiatook-murder-victim
4084,http://www.nola.com/crime/baton-rouge/index.ssf/2013/05/teen_suspect_arrested_for_bato.html
8184,http://www.huffingtonpost.com/2013/08/19/damon-holbrook-michigan-3-year-old-shoots-self_n_3779274.html
8198,http://www.lohud.com/article/20130820/NEWS04/308200060/
5748,http://www.usatoday.com/story/news/nation/2013/06/20/kentucky-shooting-domestic-suicide/2442751/
5769,http://www.myrtlebeachonline.com/2013/06/21/3549932/witness-reported-woman-was-chased.html
8255,http://www.wtsp.com/news/local/story.aspx?storyid=176575
8258,http://pittsburgh.cbslocal.com/2013/08/22/deadly-shooting-in-shaler/
5783,http://articles.courant.com/2013-06-19/community/hc-salem-fire-shooting-0620-20130619_1_state-troopers-state-fire-marshal-divorce-file
4146,http://5newsonline.com/2013/05/07/deputies-investigate-shooting-in-sequoyah-county/
1907,https://www.delawareonline.com/article/20130217/NEWS/302170035/
4149,https://www.redding.com/news/2013/may/07/deputies-investigating-stabbing-outside-shingletow/
1915,http://wvmetronews.com/2013/02/11/two-dead-following-charleston-shootings/
1925,http://www.wkyt.com/news/headlines/Neighbors-in-McCreary-shocked-over-dead-hair-dressers-role-in-murder-plot-190754871.html
4254,http://evanston.patch.com/groups/police-and-fire/p/death-of-former-eths-student-killed-in-chicago-may-be4c16133819
1940,http://usgunviolence.wordpress.com/2013/01/19/c/
1990,http://www.thegrandreport.com/man-witnessed-the-killings-of-nick-lewis-deangelo-cox-in-taft-fl-video/
4307,http://abclocal.go.com/wpvi/story?section=news/local&id=9099879
4308,https://nixle.com/alert/5001148/
8436,https://www.indystar.com/article/20130827/NEWS02/308270020/
2063,http://usgunviolence.wordpress.com/2013/02/17/killed-albert-lorenzo-johnson-jr-prince-edward-va/
8496,http://bangordailynews.com/2013/08/29/news/midcoast/police-looking-for-armed-suspect-in-belfast-homicide/
8575,http://www.dnainfo.com/chicago/20130903/morgan-park/john-fuzzy-atkins-family-seeks-justice-after-promoter-shot-head
11678,http://www.wistv.com/story/23963393/2-found-dead-inside-sc-motel
2075,http://www.dnainfo.com/new-york/20130209/east-flatbush/teen-shot-death-east-flatbush-after-buying-pizza-sources-say
5891,http://www.pennlive.com/midstate/index.ssf/2013/06/harrisburs_11th_homicide_victi.html
11685,http://www.deseretnews.com/article/865590564/Holladay-couple-found-dead-in-apparent-murder-suicide.html
2095,http://www.charlestondailymail.com/News/Kanawha/201302140018
11703,http://djournal.com/news/bassfield-robbery-suspect-shot-least-10-times-dies/
5905,https://www.cape-coral-daily-breeze.com/page/content.detail/id/535460/Police-continue-investigation-into-officer-involved-shooting-death.html?nav=5011
8635,http://www.charlotteobserver.com/2013/09/07/4294174/abc-commission-suspends-alcohol.html
5916,http://www.indystar.com/article/20130827/NEWS08/308270044/
2128,http://www.wkyt.com/news/misc/Coroner-called-to-Harlan-Co-shooting-191567581.html
5937,http://wixx.com/news/articles/2013/jun/25/charges-sought-against-manitowoc-man-for-fatally-shooting-brother/
11718,http://myfox8.com/2013/11/13/two-dead-in-shooting-at-salem-lake/
11734,http://www.abc2news.com/dpp/news/crime_checker/baltimore_city_crime/three-dead-in-weekend-shootings
10316,http://blog.pe.com/breaking-news/2013/10/13/san-bernardino-man-shot-to-death-after-argument/
10321,http://abclocal.go.com/wpvi/story?section=news/local&id=9285069
6008,http://www.bgdailynews.com/news/local/bg-man-slain-outside-simpson-county-home/article_dc939cd0-670e-11e2-adce-0019bb2963f4.html
2159,http://www.americanownews.com/story/21255705/sister-of-hurtsboro-shooting-victim-speaks-out
6011,http://www.herald-dispatch.com/news/briefs/x1925881278/Boyd-deputy-Man-takes-own-life-in-standoff
11790,http://www.wfaa.com/news/crime/Two-dead-in-Ellis-County-disturbance-232255521.html
334,http://www.koaa.com/news/new-information-released-in-pueblo-officer-involved-shooting-that-killed-one/
10334,http://www.macon.com/2013/10/13/2718009/mother-of-shot-dead-macon-teen.html
11797,http://www.timesdaily.com/news/crime/article_29a2f9aa-4f9c-11e3-8c44-001a4bcf6878.html
11798,http://www.10tv.com//content/stories/2013/11/18/ap-ohio-accidental-shooting.html
11801,http://www.poughkeepsiejournal.com/article/20131117/NEWS05/131117003/
347,http://charlotte.news14.com/content/news/678632/2-dead-in-unrelated-shootings-near-tabor-city/
8823,http://wtvr.com/2013/09/08/16-year-old-fatally-shot-in-sussex/
2199,http://www.8newsnow.com/story/21285660/breaking-news-fugitive-dies-after-las-vegas-gunfight-agent-wounded
8840,http://www.daily-chronicle.com/2013/09/09/police-release-details-on-murder-suicide-in-dekalb/avdxxbz/
11912,http://www.deseretnews.com/article/765641992/Man-26-commits-suicide-at-Vegas-Mormon-temple.html
10366,http://www.wral.com/police-officer-involved-in-shooting-in-fayetteville/12991795/
11916,http://www.chron.com/news/houston-texas/houston/article/Police-seek-suspect-in-shooting-that-left-three-4999169.php
6157,http://www.tribune-democrat.com/local/x1320121443/Police-probing-fatal-shooting
10396,http://www.sentinelsource.com/news/local/hinsdale-shooting-victim-was-a-husband-father-marine/article_a09bc71a-d1ac-5c17-8b09-25edd5a1622a.html
10406,http://www.sfexaminer.com/sanfrancisco/marcus-spruell-23-and-waynenard-aitemon-jr-32-victims-of-recent-sf-homicides/Content?oid=2608567
389,http://www.koco.com/news/oklahomanews/around-oklahoma/OSBI-Clinton-police-investigate-homicide-burglary/-/12530084/17916066/-/f7e8t9/-/index.html
6209,http://www.star-telegram.com/2013/06/30/4973352/couple-found-dead-in-grand-prairie.html
